Interests,Budget Range,Travel Type,Accommodation Preference,Transport Preferences,Preferred Locations,Activities
"Wildlife, Beach, Relaxation",Low,Solo,Luxury,Train,"Minneriya, Yala, Negombo, Puttalam, Colombo, Mirissa, Dambulla",Visit the elephant gathering in Minneriya; Safari in Yala National Park; Relax on Negombo Beach; Birdwatch at Puttalam Lagoon; Visit a Gangaramaya Temple; Go whale watching in Mirissa; Explore Dambulla Cave Temple
Culture,Low,Group,Luxury,Bus,"Polonnaruwa, Anuradhapura",Explore ancient ruins in Polonnaruwa; Visit ancient stupas in Anuradhapura
"Beach, Adventure, Culture",High,Solo,Budget,Rental Car,"Bentota, Mirissa, Matara, Nuwara Eliya, Hikkaduwa, Trincomalee, Dambulla",Jet skiing in Bentota; Go whale watching in Mirissa; Visit Parey Dewa in Matara; Tour tea plantations in Nuwara Eliya; Snorkel in Hikkaduwa; Snorkel at Pigeon Island; Explore Dambulla Cave Temple
"Wildlife, Relaxation, Adventure",Medium,Solo,Eco-friendly,Bus,"Habarana, Mirissa, Galle, Colombo, Mirissa, Nuwara Eliya, Sinharaja",Safari in Habarana; Go whale watching in Mirissa; Explore Dutch Fort in Galle; Visit a Gangaramaya Temple; Go whale watching in Mirissa; Tour tea plantations in Nuwara Eliya; Trek in Sinharaja Rainforest
"Adventure, Beach",Low,Solo,Eco-friendly,Rental Car,"Ella, Arugambay, Matara",Hike Ella Rock; Surf in Arugambay; Visit Parey Dewa in Matara
"Wildlife, Culture, Beach",High,Family,Luxury,Train,"Habarana, Yala, Wilpattu, Sigiriya, Tangalle, Hambanthota",Safari in Habarana; Safari in Yala National Park; Explore Wilpattu National Park; Visit Sigiriya Rock Fortress; Relax at Tangalle Beach; Explore Bundala National Park
Relaxation,Low,Solo,Eco-friendly,Rental Car,Weligama,Take surfing lessons in Weligama
Wildlife,High,Family,Budget,Rental Car,Sinharaja,Trek in Sinharaja Rainforest
"Wildlife, Beach, Culture",Medium,Group,Luxury,Train,"Habarana, Arugambay, Polonnaruwa, Kalutara",Safari in Habarana; Surf in Arugambay; Explore ancient ruins in Polonnaruwa; Visit Kalutara Bodhiya
"Beach, Wildlife, Culture",Medium,Family,Luxury,Train,"Kalutara, Minneriya, Kandy, Dambulla",Visit Kalutara Bodhiya; Visit the elephant gathering in Minneriya; Visit the Temple of the Sacred Tooth Relic; Explore Dambulla Cave Temple
Beach,Medium,Family,Eco-friendly,Train,Tangalle,Relax at Tangalle Beach
Adventure,High,Family,Luxury,Rental Car,"Sinharaja, Arugambay",Trek in Sinharaja Rainforest; Surf in Arugambay
Adventure,High,Family,Eco-friendly,Train,"Sinharaja, Arugambay",Trek in Sinharaja Rainforest; Surf in Arugambay
Culture,Low,Solo,Luxury,Bus,Dambulla,Explore Dambulla Cave Temple
Relaxation,Low,Group,Eco-friendly,Rental Car,"Dambulla, Galle",Explore Dambulla Cave Temple; Explore Dutch Fort in Galle
"Beach, Culture",Medium,Group,Budget,Train,"Arugambay, Colombo, Kandy",Surf in Arugambay; Visit a Gangaramaya Temple; Visit the Temple of the Sacred Tooth Relic
"Culture, Relaxation",Low,Family,Eco-friendly,Train,"Jaffna, Dambulla",Visit Jaffna Fort; Explore Dambulla Cave Temple
"Beach, Adventure, Relaxation",Low,Family,Luxury,Bus,"Dickwella, Arugambay, Nuwara Eliya, Hikkaduwa, Nuwara Eliya, Ella",Visit the Beach; Surf in Arugambay; Tour tea plantations in Nuwara Eliya; Snorkel in Hikkaduwa; Tour tea plantations in Nuwara Eliya; Hike Ella Rock
"Beach, Relaxation",Medium,Solo,Eco-friendly,Rental Car,"Kalutara, Ella",Visit Kalutara Bodhiya; Hike Ella Rock
"Wildlife, Beach",High,Solo,Luxury,Train,"Habarana, Yala, Unawatuna, Dickwella",Safari in Habarana; Safari in Yala National Park; Relax at Unawatuna Beach; Visit the Beach
"Relaxation, Culture, Wildlife",Low,Group,Eco-friendly,Bus,"Ella, Matara, Arugambay, Colombo, Sigiriya, Minneriya",Hike Ella Rock; Visit Parey Dewa in Matara; Surf in Arugambay; Visit a Gangaramaya Temple; Visit Sigiriya Rock Fortress; Visit the elephant gathering in Minneriya
"Beach, Wildlife, Culture",Medium,Family,Luxury,Rental Car,"Unawatuna, Minneriya, Wilpattu, Habarana, Colombo",Relax at Unawatuna Beach; Visit the elephant gathering in Minneriya; Explore Wilpattu National Park; Safari in Habarana; Visit a Gangaramaya Temple
"Culture, Beach, Relaxation",Low,Group,Luxury,Rental Car,"Kandy, Kalutara, Koggala, Arugambay, Galle",Visit the Temple of the Sacred Tooth Relic; Visit Kalutara Bodhiya; Relax at Koggala Beach; Surf in Arugambay; Explore Dutch Fort in Galle
"Relaxation, Wildlife, Beach",Medium,Solo,Budget,Rental Car,"Ella, Kalutara, Negombo, Sinharaja, Galle, Jaffna",Hike Ella Rock; Visit Kalutara Bodhiya; Relax on Negombo Beach; Trek in Sinharaja Rainforest; Explore Dutch Fort in Galle; Visit Jaffna Fort
Wildlife,High,Solo,Luxury,Rental Car,"Udawalawa, Yala",Elephant watching in Udawalawa; Safari in Yala National Park
"Wildlife, Beach, Adventure",Medium,Group,Eco-friendly,Rental Car,"Wilpattu, Sinharaja, Arugambay, Nuwara Eliya, Sinharaja",Explore Wilpattu National Park; Trek in Sinharaja Rainforest; Surf in Arugambay; Tour tea plantations in Nuwara Eliya; Trek in Sinharaja Rainforest
Culture,Low,Solo,Eco-friendly,Train,Kandy,Visit the Temple of the Sacred Tooth Relic
Wildlife,High,Family,Luxury,Bus,"Sinharaja, Yala, Wilpattu",Trek in Sinharaja Rainforest; Safari in Yala National Park; Explore Wilpattu National Park
"Beach, Wildlife, Adventure",Low,Solo,Luxury,Train,"Negombo, Udawalawa, Mirissa, Arugambay, Unawatuna",Relax on Negombo Beach; Elephant watching in Udawalawa; Go whale watching in Mirissa; Surf in Arugambay; Relax at Unawatuna Beach
"Adventure, Culture, Relaxation",Low,Group,Luxury,Bus,"Sinharaja, Hikkaduwa, Ella, Koggala, Colombo, Colombo, Ella, Arugambay",Trek in Sinharaja Rainforest; Snorkel in Hikkaduwa; Hike Ella Rock; Relax at Koggala Beach; Visit a Gangaramaya Temple; Visit a Gangaramaya Temple; Hike Ella Rock; Surf in Arugambay
"Beach, Wildlife",High,Solo,Budget,Rental Car,"Galle, Habarana, Minneriya, Wilpattu",Explore Dutch Fort in Galle; Safari in Habarana; Visit the elephant gathering in Minneriya; Explore Wilpattu National Park
"Culture, Wildlife, Adventure",Medium,Group,Budget,Rental Car,"Koggala, Minneriya, Habarana, Mirissa",Relax at Koggala Beach; Visit the elephant gathering in Minneriya; Safari in Habarana; Go whale watching in Mirissa
Wildlife,Medium,Solo,Luxury,Bus,Habarana,Safari in Habarana
"Culture, Adventure",Low,Group,Luxury,Rental Car,"Kandy, Kalutara, Mihintale, Mirissa, Arugambay",Visit the Temple of the Sacred Tooth Relic; Visit Kalutara Bodhiya; Climb Mihintale Rock Temple; Go whale watching in Mirissa; Surf in Arugambay
"Relaxation, Adventure, Culture",High,Group,Budget,Rental Car,"Hambanthota, Kandy, Arugambay, Ella, Mirissa, Arugambay, Sigiriya, Trincomalee, Polonnaruwa",Explore Bundala National Park; Visit the Temple of the Sacred Tooth Relic; Surf in Arugambay; Hike Ella Rock; Go whale watching in Mirissa; Surf in Arugambay; Visit Sigiriya Rock Fortress; Snorkel at Pigeon Island; Explore ancient ruins in Polonnaruwa
Adventure,Medium,Family,Luxury,Bus,"Mirissa, Unawatuna",Go whale watching in Mirissa; Relax at Unawatuna Beach
"Beach, Adventure, Wildlife",Medium,Family,Eco-friendly,Train,"Arugambay, Matara, Bentota, Mirissa, Arugambay, Wilpattu, Minneriya, Sinharaja",Surf in Arugambay; Visit Parey Dewa in Matara; Jet skiing in Bentota; Go whale watching in Mirissa; Surf in Arugambay; Explore Wilpattu National Park; Visit the elephant gathering in Minneriya; Trek in Sinharaja Rainforest
"Wildlife, Adventure",Medium,Family,Eco-friendly,Train,"Sinharaja, Minneriya, Wilpattu, Unawatuna, Hikkaduwa",Trek in Sinharaja Rainforest; Visit the elephant gathering in Minneriya; Explore Wilpattu National Park; Relax at Unawatuna Beach; Snorkel in Hikkaduwa
"Adventure, Wildlife, Beach",Low,Solo,Luxury,Bus,"Nuwara Eliya, Yala, Wilpattu, Minneriya, Unawatuna",Tour tea plantations in Nuwara Eliya; Safari in Yala National Park; Explore Wilpattu National Park; Visit the elephant gathering in Minneriya; Relax at Unawatuna Beach
Relaxation,High,Solo,Budget,Rental Car,"Weligama, Mirissa",Take surfing lessons in Weligama; Go whale watching in Mirissa
Adventure,Medium,Group,Luxury,Train,Arugambay,Surf in Arugambay
Adventure,High,Group,Eco-friendly,Rental Car,Hikkaduwa,Snorkel in Hikkaduwa
"Relaxation, Adventure",Low,Group,Luxury,Bus,"Colombo, Weligama, Negombo, Arugambay, Ella, Mirissa",Visit a Gangaramaya Temple; Take surfing lessons in Weligama; Relax on Negombo Beach; Surf in Arugambay; Hike Ella Rock; Go whale watching in Mirissa
Relaxation,Low,Family,Luxury,Bus,Unawatuna,Relax at Unawatuna Beach
Wildlife,Low,Solo,Luxury,Rental Car,"Wilpattu, Minneriya",Explore Wilpattu National Park; Visit the elephant gathering in Minneriya
"Adventure, Relaxation, Wildlife",High,Family,Budget,Bus,"Sinharaja, Arugambay, Negombo, Mirissa, Hatton, Minneriya, Yala",Trek in Sinharaja Rainforest; Surf in Arugambay; Relax on Negombo Beach; Go whale watching in Mirissa; Hike Adam’s Peak; Visit the elephant gathering in Minneriya; Safari in Yala National Park
"Relaxation, Adventure",Medium,Family,Eco-friendly,Rental Car,"Kandy, Koggala, Arugambay, Ella",Visit the Temple of the Sacred Tooth Relic; Relax at Koggala Beach; Surf in Arugambay; Hike Ella Rock
Beach,Medium,Solo,Luxury,Train,Galle,Explore Dutch Fort in Galle
Wildlife,High,Solo,Eco-friendly,Bus,"Udawalawa, Habarana",Elephant watching in Udawalawa; Safari in Habarana
"Culture, Beach, Relaxation",Low,Group,Luxury,Train,"Galle, Dambulla, Mirissa, Arugambay, Dickwella, Hatton, Hambanthota",Explore Dutch Fort in Galle; Explore Dambulla Cave Temple; Go whale watching in Mirissa; Surf in Arugambay; Visit the Beach; Hike Adam’s Peak; Explore Bundala National Park
"Beach, Relaxation",Medium,Family,Luxury,Train,"Dickwella, Mirissa, Arugambay",Visit the Beach; Go whale watching in Mirissa; Surf in Arugambay
Culture,Low,Solo,Luxury,Train,Koggala,Relax at Koggala Beach
"Culture, Relaxation, Adventure",Low,Family,Luxury,Train,"Anuradhapura, Koggala, Ella, Negombo, Arugambay, Unawatuna",Visit ancient stupas in Anuradhapura; Relax at Koggala Beach; Hike Ella Rock; Relax on Negombo Beach; Surf in Arugambay; Relax at Unawatuna Beach
"Beach, Wildlife, Relaxation",Medium,Family,Eco-friendly,Rental Car,"Matara, Jaffna, Unawatuna, Udawalawa, Kalutara, Matara, Dambulla",Visit Parey Dewa in Matara; Visit Jaffna Fort; Relax at Unawatuna Beach; Elephant watching in Udawalawa; Visit Kalutara Bodhiya; Visit Parey Dewa in Matara; Explore Dambulla Cave Temple
Beach,Low,Family,Eco-friendly,Rental Car,Galle,Explore Dutch Fort in Galle
Culture,Medium,Group,Luxury,Bus,"Kandy, Trincomalee, Jaffna",Visit the Temple of the Sacred Tooth Relic; Snorkel at Pigeon Island; Visit Jaffna Fort
Adventure,Medium,Solo,Eco-friendly,Train,"Nuwara Eliya, Hikkaduwa, Unawatuna",Tour tea plantations in Nuwara Eliya; Snorkel in Hikkaduwa; Relax at Unawatuna Beach
"Beach, Relaxation, Wildlife",High,Family,Luxury,Rental Car,"Jaffna, Hikkaduwa, Matara, Kalutara, Nuwara Eliya, Minneriya, Wilpattu, Habarana",Visit Jaffna Fort; Snorkel in Hikkaduwa; Visit Parey Dewa in Matara; Visit Kalutara Bodhiya; Tour tea plantations in Nuwara Eliya; Visit the elephant gathering in Minneriya; Explore Wilpattu National Park; Safari in Habarana
Beach,Low,Family,Eco-friendly,Train,"Kalutara, Negombo, Unawatuna",Visit Kalutara Bodhiya; Relax on Negombo Beach; Relax at Unawatuna Beach
Wildlife,Low,Group,Eco-friendly,Train,Sinharaja,Trek in Sinharaja Rainforest
Culture,Low,Family,Luxury,Train,"Koggala, Trincomalee",Relax at Koggala Beach; Snorkel at Pigeon Island
"Wildlife, Beach, Adventure",Low,Family,Luxury,Rental Car,"Sinharaja, Negombo, Kalutara, Hikkaduwa, Nuwara Eliya",Trek in Sinharaja Rainforest; Relax on Negombo Beach; Visit Kalutara Bodhiya; Snorkel in Hikkaduwa; Tour tea plantations in Nuwara Eliya
"Relaxation, Adventure, Wildlife",Low,Group,Eco-friendly,Bus,"Arugambay, Kandy, Sinharaja, Nuwara Eliya, Arugambay, Yala, Habarana",Surf in Arugambay; Visit the Temple of the Sacred Tooth Relic; Trek in Sinharaja Rainforest; Tour tea plantations in Nuwara Eliya; Surf in Arugambay; Safari in Yala National Park; Safari in Habarana
"Adventure, Relaxation",High,Group,Eco-friendly,Train,"Unawatuna, Arugambay, Dambulla, Negombo",Relax at Unawatuna Beach; Surf in Arugambay; Explore Dambulla Cave Temple; Relax on Negombo Beach
Relaxation,Medium,Family,Eco-friendly,Bus,Kandy,Visit the Temple of the Sacred Tooth Relic
"Relaxation, Wildlife",Low,Family,Luxury,Train,"Koggala, Hatton, Kalutara, Minneriya, Udawalawa",Relax at Koggala Beach; Hike Adam’s Peak; Visit Kalutara Bodhiya; Visit the elephant gathering in Minneriya; Elephant watching in Udawalawa
"Adventure, Culture",Low,Group,Eco-friendly,Train,"Sinharaja, Unawatuna, Nuwara Eliya, Mihintale, Kandy, Trincomalee",Trek in Sinharaja Rainforest; Relax at Unawatuna Beach; Tour tea plantations in Nuwara Eliya; Climb Mihintale Rock Temple; Visit the Temple of the Sacred Tooth Relic; Snorkel at Pigeon Island
"Culture, Adventure",Low,Solo,Eco-friendly,Rental Car,"Kandy, Hikkaduwa, Ella",Visit the Temple of the Sacred Tooth Relic; Snorkel in Hikkaduwa; Hike Ella Rock
"Adventure, Beach",Low,Group,Luxury,Bus,"Ella, Hikkaduwa, Galle, Bentota",Hike Ella Rock; Snorkel in Hikkaduwa; Explore Dutch Fort in Galle; Jet skiing in Bentota
"Adventure, Culture, Relaxation",High,Group,Luxury,Bus,"Arugambay, Ratnapura, Dambulla, Ella, Nuwara Eliya",Surf in Arugambay; Visit gem mines in Ratnapura; Explore Dambulla Cave Temple; Hike Ella Rock; Tour tea plantations in Nuwara Eliya
Relaxation,Low,Family,Budget,Train,"Colombo, Ella",Visit a Gangaramaya Temple; Hike Ella Rock
"Adventure, Relaxation",High,Solo,Budget,Rental Car,"Mirissa, Hambanthota",Go whale watching in Mirissa; Explore Bundala National Park
"Adventure, Beach, Relaxation",Low,Group,Luxury,Train,"Mirissa, Hikkaduwa, Ella, Galle, Mirissa, Hatton, Unawatuna",Go whale watching in Mirissa; Snorkel in Hikkaduwa; Hike Ella Rock; Explore Dutch Fort in Galle; Go whale watching in Mirissa; Hike Adam’s Peak; Relax at Unawatuna Beach
"Relaxation, Beach, Culture",Low,Family,Eco-friendly,Train,"Matara, Negombo, Nuwara Eliya, Galle, Matara, Mihintale",Visit Parey Dewa in Matara; Relax on Negombo Beach; Tour tea plantations in Nuwara Eliya; Explore Dutch Fort in Galle; Visit Parey Dewa in Matara; Climb Mihintale Rock Temple
Adventure,Low,Family,Luxury,Bus,Arugambay,Surf in Arugambay
"Relaxation, Adventure, Culture",High,Solo,Eco-friendly,Rental Car,"Koggala, Unawatuna, Arugambay, Dambulla",Relax at Koggala Beach; Relax at Unawatuna Beach; Surf in Arugambay; Explore Dambulla Cave Temple
Culture,High,Solo,Budget,Train,"Kalutara, Koggala, Ratnapura",Visit Kalutara Bodhiya; Relax at Koggala Beach; Visit gem mines in Ratnapura
Beach,High,Solo,Luxury,Train,"Hikkaduwa, Jaffna, Tangalle",Snorkel in Hikkaduwa; Visit Jaffna Fort; Relax at Tangalle Beach
Relaxation,Low,Group,Budget,Bus,Colombo,Visit a Gangaramaya Temple
"Relaxation, Beach, Adventure",Medium,Group,Budget,Rental Car,"Hatton, Colombo, Galle, Dickwella, Unawatuna, Tangalle, Mirissa",Hike Adam's Peak; Visit a Gangaramaya Temple; Explore Dutch Fort in Galle; Visit the Beach; Relax at Unawatuna Beach; Relax at Tangalle Beach; Go whale watching in Mirissa
"Adventure, Relaxation",High,Group,Budget,Bus,"Nuwara Eliya, Arugambay, Hambanthota, Ella, Hatton",Tour tea plantations in Nuwara Eliya; Surf in Arugambay; Explore Bundala National Park; Hike Ella Rock; Hike Adam’s Peak
Wildlife,Medium,Solo,Eco-friendly,Rental Car,"Yala, Wilpattu",Safari in Yala National Park; Explore Wilpattu National Park
Culture,High,Solo,Budget,Rental Car,Trincomalee,Snorkel at Pigeon Island
"Relaxation, Adventure, Culture",High,Solo,Eco-friendly,Bus,"Weligama, Nuwara Eliya, Nuwara Eliya, Galle",Take surfing lessons in Weligama; Tour tea plantations in Nuwara Eliya; Tour tea plantations in Nuwara Eliya; Explore Dutch Fort in Galle
"Adventure, Culture, Relaxation",Medium,Group,Budget,Train,"Nuwara Eliya, Hikkaduwa, Sinharaja, Kalutara, Matara, Dambulla",Tour tea plantations in Nuwara Eliya; Snorkel in Hikkaduwa; Trek in Sinharaja Rainforest; Visit Kalutara Bodhiya; Visit Parey Dewa in Matara; Explore Dambulla Cave Temple
"Wildlife, Culture",Low,Family,Budget,Rental Car,"Habarana, Sinharaja, Yala, Sigiriya, Jaffna, Galle",Safari in Habarana; Trek in Sinharaja Rainforest; Safari in Yala National Park; Visit Sigiriya Rock Fortress; Visit Jaffna Fort; Explore Dutch Fort in Galle
"Adventure, Wildlife",High,Solo,Budget,Train,"Sinharaja, Unawatuna, Arugambay, Udawalawa, Wilpattu, Minneriya",Trek in Sinharaja Rainforest; Relax at Unawatuna Beach; Surf in Arugambay; Elephant watching in Udawalawa; Explore Wilpattu National Park; Visit the elephant gathering in Minneriya
Wildlife,Medium,Solo,Luxury,Rental Car,"Habarana, Minneriya, Udawalawa",Safari in Habarana; Visit the elephant gathering in Minneriya; Elephant watching in Udawalawa
"Culture, Beach",Low,Family,Budget,Rental Car,"Sigiriya, Jaffna",Visit Sigiriya Rock Fortress; Visit Jaffna Fort
"Relaxation, Adventure, Wildlife",Medium,Group,Budget,Train,"Ella, Hambanthota, Mirissa, Sinharaja, Nuwara Eliya, Wilpattu, Minneriya, Sinharaja",Hike Ella Rock; Explore Bundala National Park; Go whale watching in Mirissa; Trek in Sinharaja Rainforest; Tour tea plantations in Nuwara Eliya; Explore Wilpattu National Park; Visit the elephant gathering in Minneriya; Trek in Sinharaja Rainforest
"Relaxation, Wildlife, Culture",Medium,Group,Budget,Train,"Hambanthota, Dambulla, Koggala, Minneriya, Jaffna",Explore Bundala National Park; Explore Dambulla Cave Temple; Relax at Koggala Beach; Visit the elephant gathering in Minneriya; Visit Jaffna Fort
"Relaxation, Adventure",High,Family,Budget,Train,"Mirissa, Sinharaja, Hikkaduwa",Go whale watching in Mirissa; Trek in Sinharaja Rainforest; Snorkel in Hikkaduwa
"Wildlife, Culture, Beach",Medium,Solo,Luxury,Rental Car,"Wilpattu, Minneriya, Polonnaruwa, Trincomalee, Arugambay, Kalutara, Jaffna",Explore Wilpattu National Park; Visit the elephant gathering in Minneriya; Explore ancient ruins in Polonnaruwa; Snorkel at Pigeon Island; Surf in Arugambay; Visit Kalutara Bodhiya; Visit Jaffna Fort
"Culture, Adventure",Medium,Family,Eco-friendly,Bus,"Kandy, Unawatuna, Ella, Arugambay",Visit the Temple of the Sacred Tooth Relic; Relax at Unawatuna Beach; Hike Ella Rock; Surf in Arugambay
"Wildlife, Relaxation",High,Group,Eco-friendly,Bus,"Yala, Habarana, Sinharaja, Hambanthota, Kandy",Safari in Yala National Park; Safari in Habarana; Trek in Sinharaja Rainforest; Explore Bundala National Park; Visit the Temple of the Sacred Tooth Relic
Wildlife,Medium,Solo,Budget,Rental Car,Minneriya,Visit the elephant gathering in Minneriya
"Wildlife, Culture",Medium,Group,Eco-friendly,Train,"Yala, Wilpattu, Udawalawa, Ratnapura",Safari in Yala National Park; Explore Wilpattu National Park; Elephant watching in Udawalawa; Visit gem mines in Ratnapura
Beach,Medium,Family,Eco-friendly,Rental Car,"Dickwella, Hambanthota",Visit the Beach; Explore Bundala National Park
"Adventure, Relaxation, Wildlife",High,Family,Eco-friendly,Bus,"Nuwara Eliya, Unawatuna, Sinharaja, Colombo, Hatton, Minneriya",Tour tea plantations in Nuwara Eliya; Relax at Unawatuna Beach; Trek in Sinharaja Rainforest; Visit a Gangaramaya Temple; Hike Adam’s Peak; Visit the elephant gathering in Minneriya
"Beach, Wildlife",Medium,Family,Eco-friendly,Rental Car,"Negombo, Unawatuna, Yala",Relax on Negombo Beach; Relax at Unawatuna Beach; Safari in Yala National Park
"Adventure, Culture",Medium,Group,Budget,Train,"Ella, Arugambay, Mihintale, Galle",Hike Ella Rock; Surf in Arugambay; Climb Mihintale Rock Temple; Explore Dutch Fort in Galle
"Beach, Adventure",High,Group,Eco-friendly,Bus,"Arugambay, Matara, Jaffna, Mirissa",Surf in Arugambay; Visit Parey Dewa in Matara; Visit Jaffna Fort; Go whale watching in Mirissa
Adventure,Medium,Family,Budget,Rental Car,"Unawatuna, Ella, Nuwara Eliya",Relax at Unawatuna Beach; Hike Ella Rock; Tour tea plantations in Nuwara Eliya
Adventure,Medium,Solo,Eco-friendly,Train,"Unawatuna, Mirissa, Nuwara Eliya",Relax at Unawatuna Beach; Go whale watching in Mirissa; Tour tea plantations in Nuwara Eliya
"Wildlife, Beach",Medium,Solo,Luxury,Train,"Habarana, Minneriya, Tangalle, Kalutara, Hikkaduwa",Safari in Habarana; Visit the elephant gathering in Minneriya; Relax at Tangalle Beach; Visit Kalutara Bodhiya; Snorkel in Hikkaduwa
Culture,High,Group,Budget,Rental Car,"Jaffna, Anuradhapura",Visit Jaffna Fort; Visit ancient stupas in Anuradhapura
Beach,Medium,Solo,Eco-friendly,Bus,"Matara, Kalutara",Visit Parey Dewa in Matara; Visit Kalutara Bodhiya
"Culture, Wildlife",Medium,Group,Budget,Train,"Polonnaruwa, Jaffna, Anuradhapura, Minneriya",Explore ancient ruins in Polonnaruwa; Visit Jaffna Fort; Visit ancient stupas in Anuradhapura; Visit the elephant gathering in Minneriya
"Wildlife, Culture, Beach",Low,Family,Luxury,Train,"Yala, Sinharaja, Minneriya, Kalutara, Sigiriya, Galle, Mirissa, Unawatuna, Kalutara",Safari in Yala National Park; Trek in Sinharaja Rainforest; Visit the elephant gathering in Minneriya; Visit Kalutara Bodhiya; Visit Sigiriya Rock Fortress; Explore Dutch Fort in Galle; Go whale watching in Mirissa; Relax at Unawatuna Beach; Visit Kalutara Bodhiya
"Adventure, Relaxation, Wildlife",Medium,Family,Eco-friendly,Train,"Sinharaja, Nuwara Eliya, Mirissa, Galle, Habarana",Trek in Sinharaja Rainforest; Tour tea plantations in Nuwara Eliya; Go whale watching in Mirissa; Explore Dutch Fort in Galle; Safari in Habarana
Wildlife,Medium,Family,Luxury,Train,"Habarana, Yala",Safari in Habarana; Safari in Yala National Park
Beach,Low,Family,Budget,Bus,"Tangalle, Arugambay",Relax at Tangalle Beach; Surf in Arugambay
Relaxation,Low,Solo,Eco-friendly,Bus,"Kandy, Colombo, Hambanthota",Visit the Temple of the Sacred Tooth Relic; Visit a Gangaramaya Temple; Explore Bundala National Park
Wildlife,High,Group,Eco-friendly,Bus,"Sinharaja, Udawalawa, Wilpattu",Trek in Sinharaja Rainforest; Elephant watching in Udawalawa; Explore Wilpattu National Park
Adventure,Medium,Solo,Eco-friendly,Train,"Unawatuna, Ella",Relax at Unawatuna Beach; Hike Ella Rock
"Beach, Adventure, Culture",High,Group,Budget,Train,"Tangalle, Galle, Unawatuna, Sinharaja, Koggala, Mihintale, Galle",Relax at Tangalle Beach; Explore Dutch Fort in Galle; Relax at Unawatuna Beach; Trek in Sinharaja Rainforest; Relax at Koggala Beach; Climb Mihintale Rock Temple; Explore Dutch Fort in Galle
"Culture, Wildlife, Adventure",Low,Family,Budget,Train,"Dambulla, Trincomalee, Wilpattu, Habarana, Unawatuna",Explore Dambulla Cave Temple; Snorkel at Pigeon Island; Explore Wilpattu National Park; Safari in Habarana; Relax at Unawatuna Beach
"Wildlife, Adventure",Medium,Group,Eco-friendly,Bus,"Habarana, Yala, Udawalawa, Mirissa, Arugambay",Safari in Habarana; Safari in Yala National Park; Elephant watching in Udawalawa; Go whale watching in Mirissa; Surf in Arugambay
"Relaxation, Beach, Adventure",Low,Family,Eco-friendly,Train,"Mirissa, Hambanthota, Kalutara, Hikkaduwa",Go whale watching in Mirissa; Explore Bundala National Park; Visit Kalutara Bodhiya; Snorkel in Hikkaduwa
Adventure,Low,Group,Budget,Bus,Hikkaduwa,Snorkel in Hikkaduwa
Adventure,Medium,Solo,Budget,Bus,"Hikkaduwa, Mirissa, Ella",Snorkel in Hikkaduwa; Go whale watching in Mirissa; Hike Ella Rock
"Adventure, Wildlife",Medium,Family,Budget,Bus,"Unawatuna, Udawalawa",Relax at Unawatuna Beach; Elephant watching in Udawalawa
"Relaxation, Adventure",High,Group,Budget,Train,"Nuwara Eliya, Dambulla, Kalutara, Mirissa, Nuwara Eliya, Ella",Tour tea plantations in Nuwara Eliya; Explore Dambulla Cave Temple; Visit Kalutara Bodhiya; Go whale watching in Mirissa; Tour tea plantations in Nuwara Eliya; Hike Ella Rock
"Beach, Culture, Adventure",High,Solo,Luxury,Rental Car,"Mirissa, Bentota, Hikkaduwa, Koggala, Ratnapura, Nuwara Eliya, Arugambay",Go whale watching in Mirissa; Jet skiing in Bentota; Snorkel in Hikkaduwa; Relax at Koggala Beach; Visit gem mines in Ratnapura; Tour tea plantations in Nuwara Eliya; Surf in Arugambay
"Adventure, Beach, Wildlife",Low,Family,Eco-friendly,Bus,"Arugambay, Unawatuna, Matara, Pasikudah, Wilpattu, Minneriya, Yala",Surf in Arugambay; Relax at Unawatuna Beach; Visit Parey Dewa in Matara; Enjoy snorkeling in Pasikudah; Explore Wilpattu National Park; Visit the elephant gathering in Minneriya; Safari in Yala National Park
"Relaxation, Adventure, Beach",Low,Family,Eco-friendly,Bus,"Hatton, Sinharaja, Ella, Mirissa",Hike Adam’s Peak; Trek in Sinharaja Rainforest; Hike Ella Rock; Go whale watching in Mirissa
Relaxation,Low,Family,Luxury,Rental Car,Mirissa,Go whale watching in Mirissa
"Culture, Beach",High,Solo,Luxury,Rental Car,"Galle, Arugambay, Mirissa",Explore Dutch Fort in Galle; Surf in Arugambay; Go whale watching in Mirissa
"Relaxation, Beach, Wildlife",High,Solo,Luxury,Bus,"Matara, Puttalam, Galle, Udawalawa",Visit Parey Dewa in Matara; Birdwatch at Puttalam Lagoon; Explore Dutch Fort in Galle; Elephant watching in Udawalawa
Wildlife,High,Solo,Budget,Train,Habarana,Safari in Habarana
Wildlife,Medium,Solo,Eco-friendly,Bus,"Yala, Habarana",Safari in Yala National Park; Safari in Habarana
"Adventure, Relaxation, Culture",Medium,Solo,Luxury,Rental Car,"Mirissa, Unawatuna, Kalutara, Arugambay, Unawatuna, Trincomalee, Kalutara",Go whale watching in Mirissa; Relax at Unawatuna Beach; Visit Kalutara Bodhiya; Surf in Arugambay; Relax at Unawatuna Beach; Snorkel at Pigeon Island; Visit Kalutara Bodhiya
